Name,WIGOS ID,Type,Elevation (m),Status,GBON,Latitude,Longitude,OSCAR URL
Easington,0-388-723-78397,Surface AWS,91,Closed,No,17.92429,-76.588298,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127450
East Albion,0-388-77-78397,Surface AWS,27,Closed,No,17.886725,-76.584742,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111020
East Albion Nursery,0-388-724-78397,Surface AWS,27,Closed,No,17.88666667,-76.584722,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127451
East Polder,0-388-814-78397,Surface AWS,10,Closed,No,18.250015,-78.14093,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/128147
East Prospect,0-388-725-78397,Surface AWS,15,Closed,No,17.86722222,-76.348611,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127452
Ebony Park,0-388-98-78397,Surface AWS,67,Unknown,No,17.95277778,-77.34666667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111114
Ecclesdown,0-388-34-78397,Surface AWS,228,Operational,No,18.05751333,-76.33579167,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110886
Ecclesdown,0-388-356-78397,Surface AWS,274,Closed,No,18.0575,-76.335833,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113260
Edwin Allen,0-388-13-78397,Surface AWS,358,Operational,No,18.15333,-77.372826,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110570
Elderslie,0-388-563-78397,Surface AWS,451,Closed,No,18.23046,-77.802585,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/122197
Elim Farm,0-388-564-78397,Surface AWS,12,Closed,No,18.119916,-77.682066,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/122206
Eltham,0-388-468-78397,Surface AWS,46,Closed,No,18.00972222,-76.970833,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121182
Empire Nursery,0-388-255-78397,Surface AWS,649,Closed,No,18.02666667,-76.657778,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112419
Enfield,0-388-469-78397,Surface AWS,229,Closed,No,18.19305556,-76.99944444,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121183
Etingdon,0-388-763-78397,Surface AWS,284,Closed,No,18.44666667,-77.568056,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127982
Evergreen,0-388-306-78397,Surface AWS,214,Closed,No,18.17222222,-77.61416667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112924
Ewarton,0-388-470-78397,Surface AWS,259,Closed,No,18.175,-77.09,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121360
Exchange,0-388-399-78397,Surface AWS,76,Closed,No,18.39888889,-77.069444,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113864
Exeter,0-388-129-78397,Surface AWS,38,Closed,No,17.83805556,-77.29916667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111620
Fair Prospect,0-388-357-78397,Surface AWS,49,Closed,No,18.1225,-76.32777778,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113261
Fair Prospect_10m,0-388-35-78397,Surface AWS,49,Operational,No,18.1225,-76.327778,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110887
Fair Prospect_2m,0-388-36-78397,Surface AWS,49,Operational,No,18.120054,-76.322005,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110894
Fairfield Pen,0-388-627-78397,Surface AWS,13,Closed,No,18.45333333,-77.91138889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126755
Falmouth,0-388-764-78397,Surface AWS,3,Closed,No,18.491083,-77.65772,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127983
Farm #2,0-388-471-78397,Surface AWS,9,Closed,No,18.01111111,-76.888333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121361
Farm Hill,0-388-726-78397,Surface AWS,1225,Closed,No,18.03333333,-76.63333333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127453
Fellowship,0-388-358-78397,Surface AWS,61,Closed,No,18.135061,-76.45816,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113262
Fellowship 2,0-388-359-78397,Surface AWS,61,Closed,No,18.142377,-76.458296,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113263
Ferris Cross,0-388-815-78397,Surface AWS,15,Closed,No,18.229706,-78.0763,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/128148
Ferris Prim.,0-388-90-7,Surface AWS,20,Closed,No,18.228333,-78.072222,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111050
Ferry,0-388-256-78397,Surface AWS,15,Closed,No,18.02111111,-76.871667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112423
Flagaman,0-388-66-78397,Surface AWS,12,Closed,No,17.88933,-77.726814,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111009
Flamstead,0-388-628-78397,Surface AWS,495,Closed,No,18.326254,-77.823434,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126756
Flamstead,0-388-400-78397,Surface AWS,152,Closed,No,18.43833333,-77.423889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113865
Flat Point,0-388-401-78397,Surface AWS,24,Closed,No,18.46111111,-77.291667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113866
